Date,Semester,Meeting Type,Appointment Start Time,Appointment End Time,Scheduled Duration in Minutes,Actual Duration in Minutes,Provider,Appointment Type,Appointment Location Name,Appointment Location Type,Reason,Attended Session,Gender,Race/Ethnicity,First Generation Student,Class Level,Term GPA,Primary Major,College,Services
2023-11-17,F23,Scheduled,15:00:00,15:30:00,30,,Coach C,Learning Center: First Level II Academic Coaching Appointment,Student Success Center Main Floor,OFFICE,Setting goals,no,Female,HI WH,Yes,Freshman,3.0 - 3.49,AGHG_BS,"College of Agriculture, Food & Natural Resources","Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-11-04,F23,Scheduled,16:00:00,16:30:00,30,48.5,Coach I,Learning Center Academic Coaching,Student Success Center,OFFICE,How to use technology effectively,yes,Female,HI,Yes,Sophomore,2.0 - 2.49,UNDEC,Undecided / Other,Learning Center Academic Coaching
2023-09-27,F23,Scheduled,09:30:00,10:00:00,30,,Coach I,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Test-taking and test anxiety,Cancelled,Male,WH,Yes,Freshman,3.5 - 4.0,EXPLR_BS,Undecided / Other,Learning Center Academic Coaching
2023-11-30,F23,Scheduled,14:00:00,14:30:00,30,42.8,Coach E,Learning Center Academic Coaching,Zoom,ONLINE,Exam preparation,yes,Female,HI WH,No,Sophomore,2.0 - 2.49,AGHG_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-10-13,F23,Scheduled,16:00:00,16:30:00,30,,Coach L,Learning Center Academic Coaching,Zoom,ONLINE,Note-taking,no,Female,WH,No,Freshman,2.5 - 2.99,ENGL_BA,College of Arts and Science,Learning Center Academic Coaching
2023-09-03,F23,Scheduled,11:30:00,12:00:00,30,67.8,Coach B,Academic Coaching: Level II,SSC M124,ELSEWHERE,Building good study habits,yes,Female,BL,No,Senior,2.5 - 2.99,KINES_BS,College of Education and Human Development,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-11-25,F23,Scheduled,13:30:00,14:00:00,30,,Coach A,Learning Center: First Level II Academic Coaching Appointment,Student Success Center,OFFICE,Building good study habits,Cancelled,Male,WH,No,Senior,Under 2.0,ENGL_BA,College of Arts and Science,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-11-02,F23,Scheduled,11:30:00,12:00:00,30,57.7,Coach D,Learning Center Academic Coaching,Zoom,ONLINE,Setting goals,yes,Female,WH,Yes,Sophomore,3.5 - 4.0,AT_BS,College of Health Sciences,Learning Center Academic Coaching
2023-08-24,F23,Scheduled,15:00:00,15:30:00,30,41.9,Coach C,Learning Center Academic Coaching,Student Success Center,OFFICE,Building good study habits,yes,Male,WH,Yes,Freshman,3.5 - 4.0,UNDEC_BUS,Trulaske College of Business,Learning Center Academic Coaching
2023-10-18,F23,Scheduled,11:30:00,12:00:00,30,59.9,Coach D,Learning Center: First Level II Academic Coaching Appointment,Student Success Center,OFFICE,Time management,yes,Female,HI,No,Senior,3.0 - 3.49,CHEM_BS,College of Arts and Science,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-12-02,F23,Scheduled,09:00:00,09:30:00,30,58.2,Coach M,Learning Center Academic Coaching,Student Success Center,OFFICE,Note-taking,yes,Female,WH,No,Freshman,2.5 - 2.99,MGMT_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-09-12,F23,Scheduled,16:00:00,16:30:00,30,,Coach D,Learning Center Academic Coaching,Learning Center 100,OFFICE,How to use technology effectively,no,Male,WH,Yes,Freshman,Under 2.0,MGMT_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-11-10,F23,Scheduled,14:30:00,15:00:00,30,50.9,Coach A,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Time management,yes,Female,AI WH,Yes,Sophomore,Under 2.0,CHEM_BS,College of Arts and Science,Learning Center Academic Coaching
2023-09-25,F23,Scheduled,09:00:00,09:30:00,30,39.8,Coach L,Learning Center Academic Coaching,Student Success Center 100,OFFICE,Time management,yes,Male,HI WH,No,Freshman,3.0 - 3.49,MGMT_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-10-22,F23,Scheduled,16:30:00,17:00:00,30,48.9,Coach H,Learning Center Academic Coaching,Zoom,ONLINE,Exam preparation,yes,Female,WH,No,Graduate Student,2.0 - 2.49,ECED_BSED,College of Education and Human Development,Learning Center Academic Coaching
2023-12-03,F23,Scheduled,12:00:00,12:30:00,30,,Coach I,Learning Center Academic Coaching,Zoom,ONLINE,Building good study habits,Cancelled,Male,WH,Yes,Freshman,3.5 - 4.0,EXPLR_BS,Undecided / Other,Learning Center Academic Coaching
2023-10-25,F23,Scheduled,14:30:00,15:00:00,30,39.8,Coach H,Learning Center Academic Coaching,Zoom,ONLINE,Time management,yes,Female,WH,Yes,Junior,2.0 - 2.49,ACCTCY_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-09-12,F23,Scheduled,16:00:00,16:30:00,30,39.8,Coach F,Learning Center Academic Coaching,Student Success Center Main Floor,ELSEWHERE,Building good study habits,yes,Female,WH,No,Freshman,3.0 - 3.49,SPED_BS,College of Education and Human Development,Learning Center Academic Coaching
2023-08-22,F23,Scheduled,15:00:00,15:30:00,30,64.2,Coach B,Academic Coaching: Level II,Zoom,ONLINE,How to use technology effectively,yes,Female,WH,No,Sophomore,3.0 - 3.49,ANSCI_BS,College of Veterinary Medicine,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-10-13,F23,Scheduled,15:30:00,16:00:00,30,26.8,Coach B,Learning Center Academic Coaching,Zoom,ONLINE,Setting goals,yes,Female,WH,No,Freshman,2.0 - 2.49,KINES_BS,College of Education and Human Development,Learning Center Academic Coaching
2023-09-26,F23,Scheduled,10:30:00,11:00:00,30,28.5,Coach G,Learning Center Academic Coaching,Learning Center 100,OFFICE,Exam preparation,yes,Female,AS,No,Sophomore,3.0 - 3.49,PRE_NURSE,College of Health Sciences,Learning Center Academic Coaching
2023-12-04,F23,Scheduled,13:00:00,13:30:00,30,38.9,Coach K,Learning Center Academic Coaching,Zoom,ONLINE,Exam preparation,yes,Female,WH,No,Junior,Under 2.0,ANSC_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-11-25,F23,Scheduled,11:30:00,12:00:00,30,52.9,Coach N,Learning Center: First Level II Academic Coaching Appointment,Zoom,ONLINE,Time management,yes,Female,BL,No,Senior,2.5 - 2.99,KINES_BS,College of Education and Human Development,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-09-05,F23,Scheduled,11:00:00,11:30:00,30,,Coach L,Learning Center Academic Coaching,Student Success Center Main Floor,OFFICE,Overcoming procrastination,Cancelled,Female,WH,No,Freshman,2.0 - 2.49,BIOSCI_BS,College of Arts and Science,Learning Center Academic Coaching
2023-11-29,F23,Scheduled,11:00:00,11:30:00,30,46.8,Coach L,Learning Center Academic Coaching,Zoom,ONLINE,Exam preparation,yes,Male,WH,Yes,Sophomore,3.5 - 4.0,CHME_BS,College of Engineering,Learning Center Academic Coaching
2023-09-27,F23,Scheduled,12:30:00,13:00:00,30,35.8,Coach Q,Learning Center Academic Coaching,SSC M124,ELSEWHERE,Campus resources,yes,Female,WH,Yes,Graduate Student,2.5 - 2.99,MKTG_BSBA,Trulaske College of Business,Learning Center Academic Coaching
2023-11-29,F23,Scheduled,14:00:00,14:30:00,30,31.3,Coach R,Learning Center Academic Coaching,SSC M124,ELSEWHERE,Building good study habits,yes,Female,WH,No,Junior,3.5 - 4.0,FSHN_BS,"College of Agriculture, Food & Natural Resources",Learning Center Academic Coaching
2023-12-05,F23,Scheduled,11:30:00,12:00:00,30,75.2,Coach F,Academic Coaching: Level II,Zoom,ONLINE,Test-taking and test anxiety,yes,Male,BL,No,Freshman,3.5 - 4.0,UNDEC_JOUR,School of Journalism,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
2023-11-27,F23,Scheduled,09:30:00,10:00:00,30,42.0,Coach F,Learning Center Academic Coaching,Zoom,ONLINE,Note-taking,yes,Female,HI WH,No,Graduate Student,3.0 - 3.49,CVEN_BSCIE,College of Engineering,Learning Center Academic Coaching
2023-11-03,F23,Scheduled,08:00:00,08:30:00,30,62.6,Coach J,Academic Coaching: Level II,Learning Center 100,OFFICE,Test-taking and test anxiety,yes,Female,WH,Yes,Freshman,3.5 - 4.0,SPED_BS,College of Education and Human Development,"Learning Center Academic Coaching, Learning Center Academic Coaching: Level II"
