student_id,semester,course_section,age,class_level,first_gen_student,major_type,prior_gpa,study_hours_per_week,attendance_rate,part_time_work_hours,tutoring_sessions,extracurricular_activities,sleep_hours_per_night,anxiety_score,final_score,letter_grade,passed
STU0001,F23,C,24,Junior,Yes,STEM,3.25,14.7,0.963,21.5,2,0,6.8,5.0,84.3,B,Pass
STU0002,F23,A,21,Sophomore,Yes,STEM,2.8,5.7,0.712,4.2,2,2,5.0,5.0,78.7,C,Pass
STU0003,F23,B,24,Sophomore,No,Non-STEM,3.35,6.0,0.772,18.7,1,2,7.9,5.0,75.0,C,Pass
STU0004,F23,C,29,Sophomore,No,Non-STEM,3.97,6.6,0.948,0.4,0,4,7.8,5.0,85.6,B,Pass
STU0005,F24,C,23,Freshman,No,Non-STEM,2.74,17.4,0.638,0.0,3,0,4.3,7.0,68.8,D,Pass
STU0006,S24,C,19,Sophomore,Yes,Non-STEM,2.74,4.2,0.886,9.0,8,1,6.8,6.0,71.0,C,Pass
STU0007,S24,A,22,Senior,No,Non-STEM,4.0,19.3,0.776,4.3,3,0,4.7,3.0,86.2,B,Pass
STU0008,F23,B,24,Freshman,No,Non-STEM,3.44,9.4,0.89,5.4,3,2,5.9,7.0,76.2,C,Pass
STU0009,F23,B,30,Sophomore,Yes,Non-STEM,2.57,9.8,0.944,0.8,5,1,5.6,4.0,59.2,F,Fail
STU0010,F23,C,25,Senior,Yes,STEM,3.28,14.3,0.803,0.0,2,3,7.9,1.0,83.0,B,Pass
STU0011,S25,A,20,Sophomore,No,Non-STEM,2.58,8.7,0.734,0.5,3,2,7.0,6.0,70.8,C,Pass
STU0012,S25,C,22,Sophomore,No,STEM,2.57,15.7,0.59,12.8,5,2,,5.0,74.4,C,Pass
STU0013,S24,A,25,Sophomore,No,STEM,3.07,5.7,0.905,7.0,2,2,7.9,7.0,78.0,C,Pass
STU0014,S24,C,24,Sophomore,No,STEM,1.56,18.9,0.678,0.0,9,0,4.9,6.0,72.0,C,Pass
STU0015,F23,B,24,Sophomore,Yes,Non-STEM,1.69,6.0,0.962,0.0,4,2,7.2,7.0,59.8,F,Fail
STU0016,S25,B,19,Junior,Yes,Non-STEM,2.51,19.3,0.768,0.0,3,5,5.7,8.0,81.7,B,Pass
STU0017,F24,B,25,Sophomore,No,Non-STEM,2.19,6.1,0.868,7.9,4,3,6.3,5.0,77.5,C,Pass
STU0018,S25,A,23,Junior,No,Non-STEM,3.12,6.8,0.566,0.0,5,4,7.5,4.0,80.3,B,Pass
STU0019,S24,A,25,Sophomore,No,STEM,2.26,3.8,0.81,0.0,3,3,7.5,6.0,73.7,C,Pass
STU0020,S25,A,23,Freshman,No,Non-STEM,1.91,4.6,0.911,2.6,5,0,8.5,9.0,67.9,D,Pass
STU0021,S24,A,22,Junior,No,Non-STEM,3.93,8.0,0.756,0.0,1,1,6.7,3.0,82.7,B,Pass
STU0022,F23,A,27,Junior,Yes,STEM,2.74,9.6,0.74,16.1,2,0,7.2,6.0,76.3,C,Pass
STU0023,F24,C,24,Sophomore,No,Non-STEM,2.95,15.1,0.764,0.0,3,1,6.2,6.0,68.3,D,Pass
STU0024,F23,B,19,Freshman,No,STEM,1.9,7.1,0.77,10.2,4,0,7.0,6.0,61.6,D,Pass
STU0025,F23,A,23,Freshman,Yes,Non-STEM,2.52,3.4,0.841,2.9,4,2,7.4,6.0,62.2,D,Pass
STU0026,F24,C,21,Freshman,No,STEM,2.98,10.6,0.811,23.7,2,2,,5.0,65.7,D,Pass
STU0027,F24,B,21,Freshman,Yes,STEM,2.09,9.2,0.469,34.2,4,3,4.5,10.0,58.6,F,Fail
STU0028,F24,C,24,Junior,Yes,Non-STEM,3.16,11.3,0.891,0.0,2,3,7.2,3.0,80.6,B,Pass
STU0029,S24,B,23,Freshman,No,STEM,2.48,5.2,0.809,0.0,3,4,7.3,5.0,70.4,C,Pass
STU0030,F23,A,24,Junior,No,STEM,2.7,5.6,0.851,0.0,2,0,5.9,5.0,75.3,C,Pass
STU0031,S24,B,26,Freshman,Yes,Non-STEM,2.48,5.2,0.783,0.6,7,0,5.1,8.0,58.2,F,Fail
STU0032,F24,B,22,Freshman,No,STEM,4.0,16.8,0.918,3.8,0,2,8.7,2.0,88.7,B,Pass
STU0033,S24,A,26,Sophomore,No,Non-STEM,2.89,19.0,0.572,12.7,3,1,7.4,9.0,73.6,C,Pass
STU0034,F24,A,21,Freshman,No,Non-STEM,2.16,5.4,0.956,9.2,3,1,6.5,8.0,64.9,D,Pass
STU0035,S25,A,27,Senior,No,Non-STEM,3.48,5.5,0.873,0.0,1,1,5.3,5.0,83.2,B,Pass
STU0036,F24,A,21,Freshman,Yes,Non-STEM,2.05,12.3,0.721,6.1,4,1,5.7,5.0,66.6,D,Pass
STU0037,F23,B,20,Sophomore,Yes,STEM,3.05,20.3,0.765,14.2,2,2,8.5,7.0,76.4,C,Pass
STU0038,F23,B,24,Junior,Yes,STEM,1.53,22.9,0.844,0.0,5,2,7.0,5.0,63.4,D,Pass
STU0039,F23,A,22,Sophomore,Yes,Non-STEM,1.97,5.3,0.905,8.6,4,2,6.1,9.0,64.2,D,Pass
STU0040,S24,B,23,Freshman,Yes,Non-STEM,3.04,6.2,0.831,0.0,2,2,7.5,3.0,70.7,C,Pass
STU0041,F23,B,19,Sophomore,Yes,STEM,3.42,9.9,0.948,7.3,1,1,5.7,5.0,79.6,C,Pass
STU0042,F24,A,19,Junior,No,Non-STEM,3.02,10.2,0.824,7.6,2,1,8.8,,73.9,C,Pass
STU0043,S25,A,21,Senior,No,Non-STEM,2.82,7.3,0.823,0.0,2,1,8.6,4.0,78.0,C,Pass
STU0044,F23,A,25,Senior,No,Non-STEM,2.69,4.5,0.607,0.0,2,1,6.2,6.0,70.2,C,Pass
STU0045,S24,B,21,Freshman,Yes,Non-STEM,1.87,8.0,0.946,0.0,7,3,6.0,7.0,75.6,C,Pass
STU0046,S25,A,20,Senior,No,STEM,2.4,22.9,0.87,0.5,4,3,4.0,7.0,83.6,B,Pass
STU0047,F23,B,27,Freshman,Yes,Non-STEM,2.58,5.7,0.812,8.2,3,2,4.9,3.0,60.3,D,Pass
STU0048,F23,B,19,Freshman,No,STEM,3.64,9.5,0.748,0.0,1,1,5.1,6.0,73.2,C,Pass
STU0049,S25,B,23,Junior,Yes,Non-STEM,3.14,32.0,0.632,2.2,4,2,7.0,9.0,87.3,B,Pass
STU0050,F23,A,25,Freshman,No,Non-STEM,1.67,5.6,0.898,17.1,5,2,6.4,7.0,58.0,F,Fail
STU0051,S24,A,21,Freshman,No,Non-STEM,3.13,12.7,0.84,0.0,3,2,5.1,8.0,65.3,D,Pass
STU0052,F24,B,25,Freshman,No,STEM,2.63,23.5,0.711,0.0,2,2,6.4,5.0,87.7,B,Pass
STU0053,F24,C,29,Sophomore,Yes,Non-STEM,2.43,12.0,0.766,2.6,7,2,7.5,4.0,74.4,C,Pass
STU0054,S25,C,25,Junior,No,Non-STEM,3.33,16.1,0.758,25.0,3,2,7.5,6.0,76.7,C,Pass
STU0055,F24,B,22,Sophomore,No,Non-STEM,3.62,13.7,0.86,0.0,3,3,4.3,6.0,79.7,C,Pass
STU0056,F23,B,23,Freshman,Yes,Non-STEM,3.55,11.4,0.892,0.0,0,0,6.6,3.0,85.5,B,Pass
STU0057,F23,B,18,Sophomore,No,STEM,2.31,18.6,0.756,0.0,3,3,5.0,5.0,72.0,C,Pass
STU0058,S24,C,21,Senior,No,Non-STEM,2.68,12.4,0.795,22.7,2,0,8.0,8.0,68.2,D,Pass
STU0059,F24,A,18,Junior,No,Non-STEM,3.13,7.3,0.945,0.0,1,0,7.8,5.0,75.7,C,Pass
STU0060,S25,C,20,Freshman,No,Non-STEM,3.58,9.1,0.77,0.0,3,5,5.6,5.0,84.8,B,Pass
STU0061,F23,B,22,Senior,No,STEM,2.56,10.5,0.613,8.2,2,4,5.8,6.0,61.3,D,Pass
STU0062,S25,B,23,Junior,No,STEM,2.77,6.2,0.754,10.4,2,0,6.2,7.0,74.9,C,Pass
STU0063,F23,A,24,Freshman,No,Non-STEM,2.13,9.3,0.624,0.0,3,2,4.0,5.0,69.6,D,Pass
STU0064,F23,B,30,Freshman,No,Non-STEM,2.06,8.5,0.944,0.0,3,1,7.2,6.0,67.4,D,Pass
STU0065,S24,B,19,Freshman,No,STEM,3.47,12.4,0.672,13.5,1,2,6.4,4.0,78.5,C,Pass
STU0066,F24,A,20,Junior,No,STEM,3.85,27.2,0.973,0.0,2,3,8.1,6.0,100.0,A,Pass
STU0067,S24,A,23,Freshman,No,Non-STEM,2.85,9.7,0.597,0.0,3,4,5.4,4.0,82.6,B,Pass
STU0068,F24,C,25,Sophomore,Yes,STEM,3.6,20.6,0.839,11.1,0,2,6.0,7.0,83.3,B,Pass
STU0069,S25,B,20,Freshman,No,Non-STEM,3.15,12.1,0.824,0.0,2,1,4.8,4.0,74.6,C,Pass
STU0070,F24,B,23,Senior,Yes,Non-STEM,2.45,9.3,0.872,1.0,3,2,5.5,6.0,72.0,C,Pass
STU0071,S25,A,23,Freshman,Yes,Non-STEM,3.15,6.0,0.832,9.0,1,1,5.3,5.0,84.8,B,Pass
STU0072,F23,C,30,Senior,Yes,STEM,3.98,9.4,0.786,0.0,1,4,8.1,,89.5,B,Pass
STU0073,S25,C,19,Senior,No,Non-STEM,2.87,9.0,0.775,0.0,3,3,5.9,2.0,77.9,C,Pass
STU0074,S25,B,24,Freshman,Yes,STEM,4.0,4.9,0.899,1.1,1,2,7.0,2.0,87.2,B,Pass
STU0075,F23,B,26,Sophomore,No,Non-STEM,1.07,5.5,0.871,6.8,7,1,6.3,7.0,61.1,D,Pass
STU0076,S25,B,24,Freshman,No,STEM,3.48,10.5,0.775,2.3,0,1,5.1,5.0,85.0,B,Pass
STU0077,S25,B,28,Senior,Yes,Non-STEM,2.96,20.5,0.925,40.0,6,0,6.6,10.0,70.5,C,Pass
STU0078,F23,A,20,Sophomore,Yes,Non-STEM,2.69,7.9,0.833,0.0,4,3,7.6,5.0,69.4,D,Pass
STU0079,F23,C,18,Freshman,No,Non-STEM,2.96,2.5,0.772,14.0,5,2,5.2,5.0,65.8,D,Pass
STU0080,F23,B,27,Freshman,No,Non-STEM,1.51,1.0,0.92,0.0,4,1,7.9,,58.0,F,Fail
STU0081,F24,A,21,Sophomore,No,Non-STEM,2.75,3.7,0.878,1.2,6,2,5.7,6.0,67.9,D,Pass
STU0082,F23,B,22,Senior,No,Non-STEM,3.15,12.9,0.811,0.0,3,3,6.2,7.0,74.9,C,Pass
STU0083,F23,C,23,Junior,No,Non-STEM,3.93,2.9,0.641,0.0,2,0,7.5,6.0,87.5,B,Pass
STU0084,S25,A,23,Senior,No,Non-STEM,2.54,14.1,0.864,6.6,2,3,5.9,7.0,76.8,C,Pass
